"Timestamp","انا من محافظة .........","من انت / انتى  ؟","الفئة العمرية (عندك كام سنة )","المستوى التعليمى ","النوع ","هل ترى ان اسعار السلع الغذائية  تزيد","هل ترى ان مستوى دخلك الشهرى يتناسب مع الزيادة المستمرة فى الاسعار .","هل ترى ان نسبة الزيادة و الارتفاع فى الاسعار للسلع الغذائية.","ما هى السلع الغذائية  التى ترى ان سعرها مرتفع بدرجة هو عالية جدا (يمكنك اختيار اكثر من سلعة )","اكتب شكوى او اذكر موقف  للغش التجارى و غلاء و ارتفاع الاسعار حدث معك عند شراء سلعة غذائية .","اكتب بعض الحلول او المقترحات لحل مشكلة ارتفاع و غلاء الاسعار  للسلع الغذائية . "
"2023/11/21 1:01:13 AM GMT+2","اسوان","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل شهر","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","لا أتذكر ","لا يوجد."
"2023/11/21 1:23:42 AM GMT+2","الجيزة","تاجر / صاحب محل /بائع","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","طول ما الحاجة غالية بغباء طبيعي يكون فية غش","دعم الفلاحين و التوسع في صناعة الاسمدة و تحلية المياه و تشجيع الشباب علي اصتصلاح الاراضي . عقوبات تصل الي السجن مدي الحياه في حالات الاحتكار."
"2023/11/21 3:24:43 AM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل شهر","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها )","لا بحدث لي موقف حتي الآن ","الحل بيد الله وحده♥️"
"2023/11/21 1:29:29 PM GMT+2","الإسماعيلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات","جميع السلع ترتفع والدول لا يكفي","يجب أن توظف الناس يجب أن تقف بجانب الناس هناك اماكن لا تعمل ابدا"
"2023/11/21 6:14:10 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","دبلومات","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;اجهزه كهربائيه ","الطماطم 20 جنيه البصل 35جنيه ","نزول الاسعار الناس مش قادره على غلاء الاسعار "
"2023/11/22 12:25:16 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","درجة الدكتورة او الماجستير","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","اللحوم و الاسماك و الدواجن","يوجد تقصير فى الرقابة على الاسعار","يرجى الرقابة على الاسواق"
"2023/11/22 1:22:16 PM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها .","استغلال التجار فى ازمه نقص السلع ","الوصول الى حلول ترضى جميع الاطراف من حيث مكسب التجار وعدم رفع سلع المبالغ فيه"
"2023/11/22 2:52:44 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","سلع السوبر ماركت بجميع انواعها .;","الكثير من المواقف محزنه ","عمل ممتاز وموقع ممتاز يجب الاستمرار "
"2023/11/22 2:52:44 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","أنثى","كل ساعة","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","كل ما سبق","كل ساعة نسأل عن سعر ","الرقابة"
"2023/11/22 2:57:40 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","كل تاجر بيبيع بسعر ","تقليل الاستهلاك علي المنتجات الغاليه"
"2023/11/22 3:09:28 PM GMT+2","القليوبية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","اسعار متفاوته عند معظم التجار","المقاطعه "
"2023/11/22 3:25:27 PM GMT+2","الاسكندرية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","دبلومات","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","تفاوت اسعار الدواجن من محل الي اخر وزياده سعر السكر والأرز الدقيق كل شي ","مرقبه الأسعار ومحاولة تخفيض السلع الأساسية "
"2023/11/22 4:11:02 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","درجة الدكتورة او الماجستير","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","زيت زيتون الصالحية  ارتفع من ١٥٦ج إلي ٤١٧ج","التسعيرة الجبرية والرقابة الصارمة، وتشجيع الإنتاج المحلي، لكن للأسف جهات الاختصاص غير قادرة على تنفيذ ذلك"
"2023/11/22 4:33:41 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٦١ الى ٨٠ سنة","دبلومات","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها )","يوجد فوضى فى الشارع المصرى","عودة الدولة لدور الرقابة فى كافة المجالات وذلك بسبب تركها للمواطن يفعل ما يشاء دون رقابة"
"2023/11/22 5:43:53 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","اشتريت نفس المنتج من اتنين سوبر ماركت جنب بعض في نفس اليوم كل واحد بيبيع بسعر و الفرق بينهم حوالي ١٠ جنية ","كتابة السعر علي  كل المنتجات و الرقابه علي السوق "
"2023/11/22 8:52:47 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","دبلومات","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","اخفاء التجار للسلع التمونية وبيعها باسعار مبالغ فيها
زي الزيت السكر وجميع السلع ","القيام بمرقبة جميع المنافذ التمونية
"
"2023/11/22 9:26:06 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة","الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى","اصبحت  السلع  لها اسعار مختلفه  ف كل محل "," ضبط وتحديد اسعار السلع  ع مستوي الجمهوريه"
"2023/11/22 9:32:42 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","ثانوى عام","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة","اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها )","كتيرة علشان احنا بعدين عن ربنا","تقليل الاستخدام تنزل الاسعار في متناول الجميع "
"2023/11/22 10:10:22 PM GMT+2","البحيرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","دبلومات","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;سلع السوبر ماركت بجميع انواعها .","بيع سلع منتهي الصلاحيه مع زياده السعر","نزول السعر
"
"2023/11/22 10:25:36 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","دبلومات","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","احتكار السلع ","الرقابه الدوريه الدائمه على جميع السلع ودعم المزارع والمنتج "
"2023/11/22 10:26:28 PM GMT+2","الدقهلية","تاجر / صاحب محل /بائع","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل ساعه ","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","كان فيه ازازتين عصير في تلاجة الكنتين بتاع معد السلاب خد ازازه من الاتنين ب 14 جنيه تاني يوم خدت الازازة لل جنبها ب 18","تدخل الحكومة ووضع رقابة علي التاجر وتوفير السلع ومنع الاحتكار "
"2023/11/22 11:14:29 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","دبلومات","ذكر","كل شهر","لا (دخلى الشهرى لا يكفينى )","مرتفعة","الخضراوات;السلع التموينية;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها ."," احتكار التجار للسلع لاستغلال المواطنين ","مقاطعه للمنتجات والسلع الغاليه "
"2023/11/22 11:20:38 PM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الدقيق و الخبز و اى مخبوزات اخرى","بعض تجار الدواجن تقوم بالبيع بسعر السوق مع اشتراط الا تقل الكمية عن ١٠ كيلو والا يتم البيع بسعر زيادة عن السعر الطبيعى ب ١٠ج ف الكيلو","حملات شديدة لمراقبة الأسواق والعمل بنظام التسعيرة كما كان من قبل ومعاقبة المخالفين وتغليظ العقوبات مع مراعاة تغيير المراقبين كل فترة بين المناطق وبعضها تجنبا الظاهرة الرشاوى"
"2023/11/22 11:44:33 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","أنثى","كل شهر","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها .","لا يوجد ","الدوله تضع تسعيره للسلع الغذائية "
"2023/11/23 3:28:31 AM GMT+2","الغربية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .;","كل حاجه غليت احنا بنموت","انخفاض مستوى الأسعار ورفع مستوى المعيشة وزيادة السلع التموينية ونعيش حياة كريمة "
"2023/11/23 5:10:45 AM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","درجة الدكتورة او الماجستير","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح","اخر حاجه مشروب سبيروسباتس سعره مختلف ف كل مكلن حسب التاجر دا مثال لكن ينطبق ع حاجات كتير مفيش رقابه عليها ","لازم يكون فيه رقابه ولازم كل حاجه تخرج متسعره للمشتري علشان يجبر التاجر ع انه يبيع بالسعر دا بس "
"2023/11/23 6:00:08 AM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","دبلومات","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","اللحوم و الاسماك و الدواجن","عدم المراقبه على كل السلع  فى القرى","مراقبه على المحلات التجاريه"
"2023/11/23 7:03:30 AM GMT+2","البحيرة","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة","اللحوم و الاسماك و الدواجن;سلع السوبر ماركت بجميع انواعها .","نحن نشتكي من غلاء الأسعار بشكل عام والذي لا يتناسب مع الدخل الشهري
أنا معلم في الأزهر وأساسي راتب المعلمين ثابت على سنة 2014 
ويخصم منا على أساسي 2023 !!!؟؟؟","دعم الزراعة والتركيز على السلع الأساسية
دعم الصحة والتعليم "
"2023/11/23 8:12:40 AM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;سلع السوبر ماركت بجميع انواعها .","سعر السلع عند كل تاجر مختلف","رقابه بجد على الأسواق "
"2023/11/23 11:58:57 AM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","دبلومات","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة","اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","جميع المحلات البائعين ليس عليهم رقابه","الرقابه المشددة وتوحيد الأسعار على الجميع والعقاب الشديد للمخالفة... "
"2023/11/24 11:44:41 AM GMT+2","البحيرة","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","دبلومات","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","الجزارين دائما ما يأخذون اعلى مما يستحقون، البهيمة يكسب فيها اكثر من الذي يستحقه","الرقابة تزيد ويكون فيه ضمير"
"2023/11/24 2:56:38 PM GMT+2","الجيزة","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح","الاسعار اغلى من الرسمى ومحدش بيبيع بالرسمى"," "
"2023/11/24 5:38:49 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","دبلومات","ذكر","كل دقيقه تقريبا ","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","جميع السلع بلا استثناء ","أنا اشتريت اجبان من محل معين والمحل اللذي بعده سعر مختلف تماما ","أولا نحتاج ضمير ثانيا نحتاج رقابة "
"2023/11/26 7:07:30 AM GMT+2","الشرقية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;الفاكهة;الالبان و الاجبان و البيض و الزبادى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .",". ",". "
"2023/11/28 10:52:58 AM GMT+2","اسوان","مواطن عادى (مستهلك يشترى فقط )","من ٤١ الى ٦٠ سنة","درجة الدكتورة او الماجستير","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","كسم السيسي","كسم الجيش والشرطة والقضاء ومجلس الشعب وبلطجية مستقبل وطن وكل شلة الفساد والحرامية بتاعت بلحة"
"2023/11/30 11:37:15 PM GMT+2","المنيا","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة","الخضراوات;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الدقيق و الخبز و اى مخبوزات اخرى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","محلات السوبر ماركت والمطاعم فيهم غش كتير 
ف سوبر ماركت لو حاجة مش مكتوب فيها السعر تبعها يبعوها بمزاجهم زي سبيرو سباتس دا مثال واشهرهم","مشعارف بصراحه "
"2023/12/01 10:05:48 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","أنثى","كل شهر","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","ارتفاع الأسعار ","تحديد أسعار متوسطه تناسب كل فئات الشعب "
"2023/12/11 1:19:32 AM GMT+2","القاهرة","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","حسبي الله","منع استيراد السلع الغير مصريه و بدأ تصدير السلع المصريه مع زياده الرواتب"
"2023/12/22 2:51:23 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","انا مريضه واشتري أدوية كل شهر وللأسف كل شهر سعر الأدوية بيزيد ","الحكومة تراقب الأسعار وتوضع تسعيرة لكل المنتجات كما يحدث في كل الدول"
